00:00,Leo,13,42
01:00,Leo,23,30
02:00,Leo,54,48
03:00,Leo,56,41
04:00,Leo,75,46
05:00,Leo,36,22
06:00,Leo,64,58
07:00,Leo,79,24
08:00,Leo,86,8
09:00,Leo,70,63
10:00,Leo,77,91
11:00,Leo,52,13
12:00,Leo,60,2
13:00,Leo,40,67
14:00,Leo,88,42
15:00,Leo,6,23
16:00,Leo,78,14
17:00,Leo,40,45
18:00,Leo,92,37
19:00,Leo,53,36
20:00,Leo,94,30
21:00,Leo,23,63
22:00,Leo,64,0
23:00,Leo,52,50
00:00,Stripes,63,45
01:00,Stripes,56,49
02:00,Stripes,49,61
03:00,Stripes,84,44
04:00,Stripes,53,89
05:00,Stripes,21,1
06:00,Stripes,72,87
07:00,Stripes,80,5
08:00,Stripes,61,67
09:00,Stripes,24,47
10:00,Stripes,7,18
11:00,Stripes,67,67
12:00,Stripes,33,41
13:00,Stripes,10,58
14:00,Stripes,32,87
15:00,Stripes,66,96
16:00,Stripes,61,66
17:00,Stripes,57,33
18:00,Stripes,51,86
19:00,Stripes,54,18
20:00,Stripes,76,52
21:00,Stripes,47,69
22:00,Stripes,73,36
23:00,Stripes,80,62
00:00,Grizzly,83,35
01:00,Grizzly,50,9
02:00,Grizzly,94,15
03:00,Grizzly,3,50
04:00,Grizzly,96,89
05:00,Grizzly,81,2
06:00,Grizzly,74,89
07:00,Grizzly,78,3
08:00,Grizzly,61,14
09:00,Grizzly,85,16
10:00,Grizzly,66,53
11:00,Grizzly,7,48
12:00,Grizzly,87,56
13:00,Grizzly,64,77
14:00,Grizzly,39,43
15:00,Grizzly,59,99
16:00,Grizzly,34,61
17:00,Grizzly,56,24
18:00,Grizzly,35,76
19:00,Grizzly,30,60
20:00,Grizzly,84,86
21:00,Grizzly,57,52
22:00,Grizzly,79,1
23:00,Grizzly,6,63
00:00,Slither,84,46
01:00,Slither,43,47
02:00,Slither,4,67
03:00,Slither,98,76
04:00,Slither,19,45
05:00,Slither,20,46
06:00,Slither,92,7
07:00,Slither,5,46
08:00,Slither,5,66
09:00,Slither,1,58
10:00,Slither,87,15
11:00,Slither,34,1
12:00,Slither,63,54
13:00,Slither,78,43
14:00,Slither,44,55
15:00,Slither,99,94
16:00,Slither,57,92
17:00,Slither,8,20
18:00,Slither,63,79
19:00,Slither,9,48
20:00,Slither,99,66
21:00,Slither,4,6
22:00,Slither,89,75
23:00,Slither,94,31
00:00,Chomp,70,33
01:00,Chomp,94,17
02:00,Chomp,18,77
03:00,Chomp,37,21
04:00,Chomp,65,49
